City,Lat,Lng,Max Temp (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
Östersund,63.1792,14.6357,11.25,100,90,2.57,SE,1631415243
Tataouine,32.9297,10.4518,24.49,76,9,2.84,TN,1631415244
Portland,45.5234,-122.6762,25.02,55,20,0.89,US,1631414376
São Filipe,14.8961,-24.4956,25.68,79,86,2.48,CV,1631415245
Povenets,62.8487,34.8262,6.24,81,29,2.79,RU,1631415246
Bilibino,68.0546,166.4372,-1.49,72,56,1.44,RU,1631415247
Kualakapuas,-3.0091,114.3876,27.09,65,78,1.37,ID,1631415248
Ordzhonīkīdze,52.4411,61.7408,6.81,56,18,4.43,KZ,1631415249
Rabo de Peixe,37.8,-25.5833,19.73,73,20,4.12,PT,1631415250
Atar,20.5169,-13.0499,30.56,45,100,1.61,MR,1631415250
Pontianak,-0.0333,109.3333,29.99,70,20,1.54,ID,1631415251
Bandarbeyla,9.4942,50.8122,26.59,70,100,12.19,SO,1631415252
Palmer,42.1584,-72.3287,17.9,79,1,0.89,US,1631415252
Morondava,-20.2833,44.2833,21.23,58,0,5.33,MG,1631415253
Roald,62.5833,6.1333,15.65,87,90,7.72,NO,1631415254
Ribeira Grande,38.5167,-28.7,21.24,74,100,8.99,PT,1631415254
Talnakh,69.4865,88.3972,6.74,94,100,3.98,RU,1631415255
Chara,56.9064,118.2631,15.08,57,100,1.19,RU,1631415088
Alice Springs,-23.7,133.8833,24.75,14,0,4.63,AU,1631415256
Port Elizabeth,-33.918,25.5701,16.17,88,0,4.12,ZA,1631415257
Rio Grande,-32.035,-52.0986,12.75,92,1,4.16,BR,1631415157
Puerto Ayora,-0.7393,-90.3518,20.31,94,80,2.24,EC,1631415258
Statesville,35.7826,-80.8873,20.22,56,1,0.0,US,1631415259
Rassvet,46.8333,40.75,17.73,55,100,3.0,RU,1631415260
Peniche,39.3558,-9.3811,20.61,93,74,2.6,PT,1631415260
Henties Bay,-22.116,14.2845,12.14,84,27,2.0,NA,1631415261
Lorengau,-2.0226,147.2712,29.55,69,59,4.81,PG,1631415262
Uvinza,-5.1036,30.3911,24.17,31,100,3.99,TZ,1631415263
Conde,-7.2597,-34.9075,22.7,94,20,2.06,BR,1631415263
Codrington,-38.2667,141.9667,10.98,76,73,5.42,AU,1631415096
Chokurdakh,70.6333,147.9167,10.98,45,61,6.49,RU,1631415265
Byron Bay,-28.65,153.6167,28.73,47,0,8.53,AU,1631414998
Sitka,57.0531,-135.33,13.08,92,93,1.17,US,1631415266
Ocós,14.5094,-92.1933,28.51,89,100,5.63,GT,1631415267
Bethel,41.3712,-73.414,20.86,86,3,1.77,US,1631415185
Mahébourg,-20.4081,57.7,22.36,83,75,7.72,MU,1631415268
Baghmara,23.795,86.2085,28.81,73,61,3.35,IN,1631415269
Butaritari,3.0707,172.7902,28.87,73,63,10.37,KI,1631415270
Lavrentiya,65.5833,-171.0,6.06,80,25,4.06,RU,1631415270
Esperance,-33.8667,121.9,12.91,59,94,3.35,AU,1631415007
Muhafazat Lahij,13.1667,44.5833,29.1,61,4,1.44,YE,1631415271
Acajutla,13.5928,-89.8275,25.73,84,100,1.7,SV,1631415272
Amahai,-3.3333,128.9167,28.26,75,40,1.75,ID,1631415273
Port Alfred,-33.5906,26.891,17.41,90,21,5.27,ZA,1631415253
Malakal,9.5334,31.6605,21.23,93,100,0.84,SS,1631415274
Qiongshan,20.0058,110.3542,30.99,74,40,1.0,CN,1631415275
Ixtapa,20.7,-105.2,28.46,86,59,2.24,MX,1631415276
Shache,38.4167,77.2406,25.13,24,76,5.99,CN,1631415276
Akdepe,42.0551,59.3788,13.05,21,0,1.65,TM,1631415277
Hobart,-42.8794,147.3294,12.25,60,75,0.89,AU,1631415032
Mahibadhoo,3.7833,72.9667,27.89,71,56,4.24,MV,1631415278
Pangnirtung,66.1451,-65.7125,0.42,51,2,2.38,CA,1631414995
Ginir,7.1333,40.7,16.83,58,88,6.0,ET,1631415279
San Andrés,12.5847,-81.7006,29.01,79,20,6.17,CO,1631415280
Tessalit,20.1986,1.0114,32.88,19,28,3.92,ML,1631415281
Upernavik,72.7868,-56.1549,2.1,41,0,10.01,GL,1631415282
George Town,5.4112,100.3354,30.96,77,20,0.45,MY,1631415209
Diffa,13.3154,12.6113,28.84,60,100,4.17,NE,1631415283
Rome,43.2128,-75.4557,21.02,74,22,3.97,US,1631415284
Sorong,-0.8833,131.25,27.86,75,83,1.88,ID,1631415285
Zliten,32.4674,14.5687,25.86,72,5,5.11,LY,1631415286
Foso,5.7012,-1.2866,21.88,98,57,1.13,GH,1631415286
Dryden,49.7833,-92.7503,11.16,76,1,3.6,CA,1631415288
Lodja,-3.4833,23.4333,21.56,90,100,0.69,CD,1631415288
Sobolevo,54.4299,31.8996,12.6,82,100,2.15,RU,1631415289
Dakar,14.6937,-17.4441,26.49,79,100,5.32,SN,1631415290
Makakilo City,21.3469,-158.0858,28.12,60,40,6.69,US,1631415290
Petropavlovsk-Kamchatskiy,53.0452,158.6483,15.33,27,0,3.0,RU,1631415291
Labuhan,-6.8844,112.2051,27.85,73,100,3.82,ID,1631415292
Porbandar,21.6422,69.6093,25.99,94,90,5.14,IN,1631415293
Lagoa,39.05,-27.9833,20.58,74,100,10.4,PT,1631415294
Alvorada,-12.48,-49.1247,29.89,25,4,1.79,BR,1631415294
Yinchuan,38.4681,106.2731,27.46,41,49,3.38,CN,1631415295
Villaviciosa,43.4813,-5.4357,17.45,91,51,1.96,ES,1631415296
Viytivka,48.426,29.5429,14.78,57,99,2.24,UA,1631415296
Aklavik,68.2191,-135.0107,11.46,76,100,1.22,CA,1631415297
Matagami,49.7502,-77.6328,13.06,94,90,3.6,CA,1631415298
Kavaratti,10.5669,72.642,27.65,81,100,8.72,IN,1631415298
Ponta do Sol,32.6667,-17.1,24.45,89,70,3.06,PT,1631415300
Burē,10.7,37.0667,11.6,94,100,1.68,ET,1631415300
Mana,5.6592,-53.7767,25.22,87,13,4.34,GF,1631415301
Puerto Escondido,15.85,-97.0667,25.31,89,100,0.95,MX,1631415304
Maricá,-22.9194,-42.8186,21.97,93,97,2.08,BR,1631415304
East Angus,45.4834,-71.6658,17.14,79,26,1.54,CA,1631415306
Mogok,22.9167,96.5,25.09,62,29,1.09,MM,1631415307
Kushiro,42.975,144.3747,16.53,100,75,3.09,JP,1631415307
Duiwelskloof,-23.6934,30.14,10.76,57,0,1.82,ZA,1631415308
Port-Gentil,-0.7193,8.7815,23.77,93,100,4.68,GA,1631415286
Vuktyl,63.8567,57.3094,2.71,95,99,3.11,RU,1631415310
Vostok,46.4856,135.8833,9.19,99,100,2.26,RU,1631415310
Comodoro Rivadavia,-45.8667,-67.5,12.92,82,75,2.57,AR,1631415311
Puro,12.4841,123.3827,28.95,76,100,3.96,PH,1631415312
Cabra,37.4725,-4.4421,22.17,52,0,0.9,ES,1631415313
Camacha,33.0833,-16.3333,22.52,94,75,6.17,PT,1631415314
Yangi Marg`ilon,40.4272,71.7189,20.4,40,3,2.06,UZ,1631415314
Saskylakh,71.9167,114.0833,10.64,54,72,5.26,RU,1631415085
São João da Barra,-21.6403,-41.0511,21.85,93,73,1.92,BR,1631415316
Lompoc,34.6391,-120.4579,20.61,86,90,5.14,US,1631415316
Oliveira dos Brejinhos,-12.3169,-42.8961,24.45,44,1,3.18,BR,1631415317
Guerrero Negro,27.9769,-114.0611,23.69,81,78,5.94,MX,1631415318
Synya,65.3718,58.0387,2.41,98,100,3.28,RU,1631415319
Saint-Rémi,45.2668,-73.6159,20.4,73,46,2.68,CA,1631415319
Nalobikha,53.2006,84.6039,11.37,94,100,4.65,RU,1631415320
Maceió,-9.6658,-35.7353,24.69,100,75,1.54,BR,1631415321
Itumbiara,-18.4192,-49.2153,26.9,39,35,1.43,BR,1631415322
Kumul,42.8,93.45,24.12,20,86,3.55,CN,1631415322
Belaya Gora,68.5333,146.4167,10.43,42,78,4.28,RU,1631415323
Tilichiki,60.4667,166.1,7.15,46,40,10.43,RU,1631415266
Maniwaki,46.3834,-75.966,20.3,77,94,4.63,CA,1631415291
Methóni,36.8197,21.7049,22.9,61,25,3.17,GR,1631415325
Onguday,50.75,86.15,14.49,39,100,2.38,RU,1631415326
Luanda,-8.8368,13.2343,22.52,92,100,3.21,AO,1631415284
Aksu,41.1231,80.2644,24.52,26,93,1.81,CN,1631415327
Pacific Grove,36.6177,-121.9166,19.31,90,30,1.79,US,1631415328
Bengkulu,-3.8004,102.2655,28.16,71,79,0.88,ID,1631415329
Barranca,-10.75,-77.7667,15.79,89,69,3.77,PE,1631415330
Carnarvon,-24.8667,113.6333,23.04,28,0,7.72,AU,1631415331
Walvis Bay,-22.9575,14.5053,12.27,93,2,3.6,NA,1631415332
Beirut,33.8889,35.4944,24.41,57,20,2.06,LB,1631415332
Cabo San Lucas,22.8909,-109.9124,27.51,83,78,3.13,MX,1631415176
La Rioja,42.25,-2.5,15.27,55,100,2.19,ES,1631415334
Pevek,69.7008,170.3133,-1.13,76,100,7.06,RU,1631415335
Muros,42.7762,-9.0603,20.13,94,93,2.22,ES,1631415335
Hatillo,18.4863,-66.8254,27.12,88,87,5.98,PR,1631415336
Port Blair,11.6667,92.75,28.4,79,95,8.63,IN,1631415337
Ospitaletto,45.1333,10.6,20.53,87,5,1.13,IT,1631415339
Longido,-2.7333,36.6833,15.3,85,41,2.86,TZ,1631415340
Bridlington,54.0831,-0.1919,14.1,75,93,4.36,GB,1631415341
Kargasok,59.0556,80.8572,6.47,89,76,2.83,RU,1631415341
Sibolga,1.7427,98.7792,27.05,82,100,0.47,ID,1631415342
São Félix do Xingu,-6.6447,-51.995,25.15,55,7,0.46,BR,1631415343
Laredo,27.5064,-99.5075,31.0,28,1,3.6,US,1631415344
Tazovsky,67.4667,78.7,5.07,85,100,5.11,RU,1631415344
Raton,36.9034,-104.4391,17.02,52,77,0.96,US,1631415345
Kanluran,14.4167,120.85,27.02,85,100,2.89,PH,1631415346
Salinópolis,-0.6136,-47.3561,25.94,82,14,4.16,BR,1631415347
Vila Franca do Campo,37.7167,-25.4333,20.23,72,97,6.61,PT,1631415348
Zheleznodorozhnyy,55.7503,38.0042,13.97,81,100,2.19,RU,1631415349
Weinan,34.5036,109.5089,27.83,45,0,1.9,CN,1631415349
Ondjiva,-17.0667,15.7333,17.15,30,4,3.23,AO,1631415350
Maragogi,-9.0122,-35.2225,23.88,87,63,4.86,BR,1631415351
Nanortalik,60.1432,-45.2371,4.37,75,100,5.54,GL,1631415352
Nishihara,26.1842,127.7558,31.6,76,75,10.8,JP,1631415353
Mabaruma,8.2,-59.7833,23.63,93,20,1.28,GY,1631415354
Agadez,19.75,10.25,29.4,15,2,4.35,NE,1631415354
Port Hardy,50.6996,-127.4199,15.1,77,75,3.09,CA,1631415355
Cascais,38.6979,-9.4215,20.54,76,47,0.45,PT,1631415356
Cap-aux-Meules,47.3821,-61.8597,15.03,88,1,4.12,CA,1631415357
Balkanabat,39.5108,54.3671,24.92,16,0,7.22,TM,1631415357
Hoi An,15.8794,108.335,25.98,90,100,4.81,VN,1631415358
Aguascalientes,21.8833,-102.3,16.61,63,21,4.75,MX,1631415115
Cockburn Town,21.4612,-71.1419,28.7,76,80,9.72,TC,1631415359
Ati,13.2154,18.3353,24.14,76,100,3.4,TD,1631415360
Cabedelo,-6.9811,-34.8339,23.37,81,42,5.1,BR,1631415361
Huarmey,-10.0681,-78.1522,16.96,88,17,4.42,PE,1631415362
Zhengjiatun,43.5064,123.5064,18.84,54,70,3.8,CN,1631415362
Bodden Town,19.2833,-81.25,29.0,83,20,2.24,KY,1631415363
Bambous Virieux,-20.3428,57.7575,22.34,83,75,7.72,MU,1631415309
Airai,-8.9266,125.4092,25.2,39,17,1.73,TL,1631415365
San Quintín,30.4833,-115.95,23.16,81,0,4.01,MX,1631415365
Taltal,-25.4,-70.4833,13.47,81,71,0.57,CL,1631415366
Jiaojiang,28.6803,121.4428,24.22,97,100,2.33,CN,1631415367
Thinadhoo,0.5333,72.9333,28.21,70,21,3.43,MV,1631415367
Nyurba,63.2842,118.3319,17.61,47,74,2.37,RU,1631415214
La Macarena,2.1837,-73.7849,21.25,99,71,1.09,CO,1631415369
Traian,46.6333,27.0333,15.64,93,0,1.03,RO,1631415369
Kapit,2.0167,112.9333,24.33,93,100,0.89,MY,1631415370
Uozu,36.8,137.4,27.32,68,100,1.59,JP,1631415371
Husavik,66.0449,-17.3389,4.95,74,100,4.65,IS,1631415372
Honningsvåg,70.9821,25.9704,6.54,74,99,4.98,NO,1631415372
Tigil',57.8,158.6667,8.41,52,81,4.88,RU,1631415373
‘Āhuimanu,21.4447,-157.8378,28.77,66,20,6.76,US,1631415374
Superior,46.7208,-92.1041,17.65,55,1,2.57,US,1631415375
Lewisporte,49.2499,-55.0482,14.84,69,0,6.61,CA,1631415376
São Francisco de Assis,-29.5503,-55.1311,13.2,88,0,3.11,BR,1631415376
Ramona,33.0417,-116.8681,29.81,51,0,0.45,US,1631415377
Ayan,56.45,138.1667,13.16,52,17,2.74,RU,1631415378
Sørland,67.667,12.6934,9.49,73,95,5.15,NO,1631415379
Mbanza-Ngungu,-5.25,14.8667,21.75,80,100,2.21,CD,1631415379
Nemuro,43.3236,145.575,19.24,87,100,7.2,JP,1631415381
Flin Flon,54.7682,-101.865,6.1,70,40,2.29,CA,1631415381
Adrar,20.5022,-10.0711,30.21,38,100,7.57,MR,1631415382
Pagudpud,18.5616,120.7868,27.98,70,100,7.36,PH,1631415383
Jakar,27.5492,90.7525,18.62,74,99,1.04,BT,1631415383
Hearst,49.6835,-83.6665,10.14,74,51,3.35,CA,1631415385
Buala,-8.145,159.5921,29.61,65,94,4.77,SB,1631415385
Tasiilaq,65.6145,-37.6368,0.41,72,100,11.99,GL,1631415386
Örnsköldsvik,63.2909,18.7153,11.9,100,90,2.06,SE,1631415387
Chazuta,-6.5742,-76.1367,23.47,95,19,0.05,PE,1631415388
Marzuq,14.4,46.4667,25.74,53,12,1.77,YE,1631415388
Aktash,50.3,87.7333,7.76,35,100,2.47,RU,1631415389
Arlit,18.7369,7.3853,34.09,18,11,2.78,NE,1631415390
Cayenne,4.9333,-52.3333,27.27,79,0,1.34,GF,1631415391
Teguise,29.0605,-13.564,21.12,83,0,6.69,ES,1631415392
Cidreira,-30.1811,-50.2056,15.85,83,0,5.12,BR,1631415392
Vila Velha,-20.3297,-40.2925,22.97,94,75,1.03,BR,1631415393
Casper,42.8666,-106.3131,23.34,40,88,4.92,US,1631415394
Saint-Philippe,-21.3585,55.7679,20.77,84,41,7.88,RE,1631415395
Zaysan,47.4667,84.8667,22.35,17,0,2.04,KZ,1631415395
Geraldton,-28.7667,114.6,19.23,42,0,5.66,AU,1631415396
Fairbanks,64.8378,-147.7164,14.0,49,1,0.0,US,1631415218
Kandrian,-6.2167,149.55,29.16,70,83,5.23,PG,1631415397
Kaitangata,-46.2817,169.8464,17.08,52,92,4.23,NZ,1631415398
Boromo,11.75,-2.9333,23.0,95,95,2.35,BF,1631415399
Vestmannaeyjar,63.4427,-20.2734,9.76,76,100,0.72,IS,1631415400
Lüderitz,-26.6481,15.1594,13.27,70,0,4.81,NA,1631415401
Padang,-0.9492,100.3543,28.03,68,52,1.61,ID,1631415401
Khotynets,53.1286,35.3966,17.19,55,100,1.07,RU,1631415402
Laramie,41.3114,-105.5911,18.05,46,40,1.79,US,1631415275
Kaeo,-35.1,173.7833,16.85,70,54,3.66,NZ,1631415403
Aden,12.7794,45.0367,30.02,80,3,5.18,YE,1631415404
Kavieng,-2.5744,150.7967,29.01,68,58,3.01,PG,1631415405
Sakakah,29.9697,40.2064,24.76,37,1,2.28,SA,1631415406
Kalispell,48.1958,-114.3129,15.74,73,86,3.58,US,1631415407
Saint Anthony,45.0205,-93.218,21.07,61,75,1.34,US,1631415407
Gazli,40.1333,63.45,19.75,16,0,4.18,UZ,1631415408
Pochutla,15.7432,-96.4661,24.9,95,100,1.26,MX,1631415409
Ancud,-41.8697,-73.8203,6.74,82,100,8.78,CL,1631415410
Shimanovsk,52.0,127.7,15.25,57,6,3.15,RU,1631415410
Darnah,32.767,22.6367,26.24,60,5,2.22,LY,1631415411
Prymors'k,46.7348,36.3443,18.62,49,100,3.74,UA,1631415412
Griffith,41.5284,-87.4237,27.25,73,1,2.06,US,1631415413
Narsaq,60.9167,-46.05,5.21,74,100,9.98,GL,1631415413
Changji,44.0167,87.3167,21.44,37,0,1.0,CN,1631415414
Bom Sucesso,-21.0331,-44.7581,18.73,79,47,3.21,BR,1631415415
Amoy,24.4798,118.0819,34.03,52,40,3.0,CN,1631415236
Belmonte,-15.8631,-38.8828,24.28,82,6,3.48,BR,1631415416
Petatlán,17.5167,-101.2667,25.69,91,100,0.71,MX,1631415417
Jardim,-21.4803,-56.1381,24.53,53,37,2.01,BR,1631415418
La Tuque,47.4334,-72.7824,18.14,68,100,3.09,CA,1631415419
Sukumo,32.9333,132.7333,23.07,98,100,2.07,JP,1631415419
Maniitsoq,65.4167,-52.9,3.52,42,88,4.66,GL,1631415420
Pisco,-13.7,-76.2167,15.57,88,40,5.66,PE,1631415421
Saint-Augustin,51.226,-58.6502,11.1,71,85,6.23,CA,1631415421
Qujing,25.4833,103.7833,23.08,52,0,2.46,CN,1631415422
Rockingham,42.9668,-71.0995,19.44,81,0,3.19,US,1631415423
Hailar,49.2,119.7,12.6,68,100,4.13,CN,1631415424
Kiryat Gat,31.61,34.7642,23.38,60,81,2.2,IL,1631415424
Kirensk,57.7853,108.1119,8.25,92,100,1.68,RU,1631415425
Te Anau,-45.4167,167.7167,9.83,96,100,2.39,NZ,1631415426
Dhanwār,24.4167,85.9833,28.37,72,100,2.53,IN,1631415427
Pitimbu,-7.4706,-34.8086,23.33,83,56,4.76,BR,1631415428
Teknāf,20.8624,92.3058,27.08,86,100,7.87,BD,1631415429
Popondetta,-8.7537,148.2534,32.13,50,78,3.16,PG,1631415430
Moindou,-21.6924,165.677,24.97,52,0,5.2,NC,1631415430
Natal,-5.795,-35.2094,25.12,83,20,3.09,BR,1631415223
Grand Gaube,-20.0064,57.6608,22.43,71,1,3.13,MU,1631415432
Itapecerica,-20.4725,-45.1256,21.31,66,46,4.48,BR,1631415433
Hithadhoo,-0.6,73.0833,28.16,70,23,4.39,MV,1631415433
Arraial do Cabo,-22.9661,-42.0278,21.6,91,92,3.33,BR,1631415434
Constitución,-35.3333,-72.4167,10.89,90,99,4.77,CL,1631415435
Tara,56.8944,74.371,4.71,97,100,5.82,RU,1631415435
Margate,51.3813,1.3862,15.17,77,85,0.89,GB,1631415221
Nantucket,41.2835,-70.0995,21.11,82,19,7.64,US,1631415437
Levokumskoye,44.8219,44.6606,16.62,67,100,4.86,RU,1631415437
Jiuquan,39.7432,98.5174,21.52,28,100,4.02,CN,1631415438
Hobyo,5.3505,48.5268,25.14,86,78,8.4,SO,1631415439
Puerto Madryn,-42.7692,-65.0385,15.32,67,100,12.96,AR,1631415239
Sunnyside,46.3237,-120.0087,23.32,56,79,2.36,US,1631415165
Tabou,4.423,-7.3528,25.27,87,100,2.39,CI,1631415441
Boende,-0.2167,20.8667,21.0,99,98,0.73,CD,1631415442
Kefar Shemaryahu,32.1856,34.8219,23.99,71,99,2.99,IL,1631415443
Leningradskiy,69.3833,178.4167,-1.79,92,100,9.82,RU,1631415444
Klyuchi,52.2667,79.1667,11.03,54,49,6.99,RU,1631415444
Minden,52.2833,8.9167,18.32,94,99,2.06,DE,1631415445
Mount Isa,-20.7333,139.5,33.87,14,40,3.6,AU,1631415446
Vao,-22.6667,167.4833,19.99,62,6,5.83,NC,1631415447
Zhigansk,66.7697,123.3711,12.42,50,96,4.86,RU,1631415333
Barinas,8.6226,-70.2075,25.83,91,97,1.95,VE,1631415448
Krasnoarmeysk,51.0239,45.6969,13.93,50,50,2.26,RU,1631415449
Batagay-Alyta,67.8006,130.4114,15.11,35,69,1.18,RU,1631415450
Assiut,27.181,31.1837,23.1,57,0,4.1,EG,1631415450
Sangar,63.9242,127.4739,14.07,43,44,2.65,RU,1631415451
Gbadolite,4.2833,21.0167,20.34,97,70,0.57,CD,1631415452
Porto-Novo,6.4965,2.6036,25.9,92,97,1.82,BJ,1631415259
Mitchell,43.7094,-98.0298,20.62,57,74,2.24,US,1631415453
Broken Hill,-31.95,141.4333,16.84,42,29,8.75,AU,1631415454
Broadstairs,51.3591,1.4394,15.11,73,83,0.89,GB,1631415455
Wanaka,-44.7,169.15,8.39,90,97,5.47,NZ,1631415455
Sri Aman,1.2376,111.4621,30.03,74,40,1.54,MY,1631415456
Płońsk,52.6235,20.3755,17.84,94,9,2.84,PL,1631415457
Acapulco de Juárez,16.8634,-99.8901,25.81,87,100,0.49,MX,1631415457
Lucea,18.451,-78.1736,29.36,79,41,3.66,JM,1631415458
Annau,37.8876,58.516,15.72,44,0,1.03,TM,1631415459
Laguna,38.421,-121.4238,31.28,33,1,2.06,US,1631415459
Marabu,4.4148,114.0089,31.08,70,20,2.57,MY,1631415252
